id,title,upload_date,plays_count,likes_count,reposts_count,comments_count,tags,url
186406095,Firestone - Kygo Feat. Conrad [Lostboy Acoustic Remake],17 January 2015,4089932,48207,3356,222,"Kygo, Conrad, Sewell, Acoustic",https://soundcloud.com/iamimlost/firestone-kygo-feat-conrad-acoustic
197256664,J Cole- Tale of 2 Cities,23 March 2015,18492276,239362,9529,969,,https://soundcloud.com/acesdabest1/j-cole-tale-of-2-cities
13560988,Kendrick Lamar - HiiiPoWeR (Prod. by J.Cole),14 April 2011,12036750,204876,21918,1111,"Human Music, Kendrick, Lamar, HiiiPoWeR, Prod, J, Cole",https://soundcloud.com/topdawgent/kendrick-lamar-hiiipower-prod
235982091,J Cole - Wet Dreams (2014 Forest Hills Drive),4 December 2015,25559320,349704,9895,1510,j cole,https://soundcloud.com/sebastian-chavez-gallardo/j-cole-wet-dreams-2014-forest-hills-drive
95827881,Power Trip [Feat. Miguel],7 June 2013,23460191,383605,10182,1662,,https://soundcloud.com/j-cole/power-trip-feat-miguel-1
15796758,J. Cole - Return of Simba,24 May 2011,6594814,99396,9282,680,,https://soundcloud.com/j-cole/j-cole-return-of-simba
412471869,Em Muốn Nghe Giọng Anh Nói - Cover by Trang Hàn,12 March 2018,521785,4793,320,35,"Pop, Acoustic Pop",https://soundcloud.com/ngotchannel/em-muon-nghe-giong-anh-noi-cover-by-trang-han
222588967,Tát Nước Đầu Đình -Binz Ft Lynk Lee,6 September 2015,1229994,10783,459,49,Binz #Lynk Lee,https://soundcloud.com/bumakarpvn/tat-nuoc-dau-dinh-lynk-lee-binz
875547127,Hai Chữ Đã Từng (Official Mp3) - Như Việt,14 August 2020,1346807,5707,264,69,"Nhạc trẻ, Nhac tre, vpop, limited music, hai chữ đã từng, hai chu da tung, như việt, nhu viet, hai chu da tung mp3, mp3 hai chữ đã từng, 2 chữ đã từng",https://soundcloud.com/limitedtv/hai-chu-da-tung-official-mp3-nhu-viet
467285532,Lo - Thuong - Mot - Nguoi - Nguyen - Dinh - Vu,5 July 2018,1252227,7071,290,34,Pop,https://soundcloud.com/user-643063259/lo-thuong-mot-nguoi-nguyen
816279442,Lena - SAY {ft. T.R.I},8 May 2020,1472353,18004,534,212,Indie,https://soundcloud.com/le-na-69/lena-say-ft-tri
186726903,Không phải dạng vừa đâu - Sơn Tùng M-TP,19 January 2015,606644,4439,246,83,"son tung m-tp, chàng trai năm ấy",https://soundcloud.com/khoai-t-y-23/khong-phai-dang-vua-dau-son-tung-m-tp
335218933,ĐIỀU KHÁC LẠ - ĐẠTG X NGỌC HALEYY (Masew Mix),28 July 2017,2493248,22657,2474,155,"Future Bass, ĐIỀU, KHÁC, LẠ, ĐẠTG, NGỌC, HALEYY, Masew, Mix",https://soundcloud.com/masew/dieu-khac-la-datg-x-ngoc-haleyy-masew-mix
339452759,TÚY ÂM - XESI x MASEW x NHATNGUYEN,25 August 2017,3918905,38488,6022,783,,https://soundcloud.com/xesii/tuy-am-xesi-x-masew-x-nhatnguyen
106115968,Rơi - Hoàng Thùy Linh,19 August 2013,19089,191,13,0,Rơi,https://soundcloud.com/sad-vl/r-i-ho-ng-th-y-linh
373060892,Xin - Đạt G x Bray x Masew,22 December 2017,1975991,17805,1137,68,"Hip-hop & Rap, Underground",https://soundcloud.com/music-anime-754177858/xin-t-g-x-bray-x-masew
15609049,Them Mot Lan dau - HKT [NCT 00634333271173437500],20 May 2011,83729,524,28,4,,https://soundcloud.com/mp3-7/them-mot-lan-dau-hkt-nct
56479845,Neu Luc Truoc Em Dung Toi - Quang Vinh,16 August 2012,246222,1058,36,1,,https://soundcloud.com/user409049027/neu-luc-truoc-em-dung-toi
25642669,Trang Vo - Dan Truong,16 October 2011,27431,129,13,1,,https://soundcloud.com/tainhac/trang-vo-dan-truong
21102550,Tinh Yeu Hoa Gio - Truong The Vinh,14 August 2011,944982,3827,129,8,,https://soundcloud.com/baotothoidai_2005/tinh-yeu-hoa-gio-truong-the-2
1035781837,Người đến sau - Khánh Phương,24 April 2021,1046,15,0,0,,https://soundcloud.com/ba-o-nguy-n-472061114/ng-i-n-sau-kh-nh-ph-ng
290632525,Lý Do Anh Say (Feat. LK) - B Ray,30 October 2016,1258279,11897,1228,202,"Hip-hop & Rap, yunbray",https://soundcloud.com/yunbray/ly-do-anh-say-feat-lk-b-ray
284049261,Mình Là Gì Của Nhau - Lou Hoàng,22 September 2016,1025389,8918,378,20,"Pop, Blues",https://soundcloud.com/d-ng-t-ng-65405088/minh-la-gi-cua-nhau-lou-hoang
262292072,Đếm Ngày Xa Em - OnlyC ft Lou Hoang,3 May 2016,1061391,8001,397,77,Pop,https://soundcloud.com/h-o-b-nh-th-ngg/dem-ngay-xa-em-onlyc-ft-lou-hoang
52134080,Xa Em - Noo Phước Thịnh,8 July 2012,426710,3799,170,11,"Pop, missing you",https://soundcloud.com/sieu-nhan-cuong-dien/xa-em-noo-phuoc-thinh
662925902,Yêu Làm Chi (#YLC) | Insolent x Fay x CM1X (Daz Remix) [ BUY = FREE DOWNLOAD ],8 August 2019,407426,2296,82,27,,https://soundcloud.com/daztrannnnn/yeu-lam-chi-ylc-insolent-x-fay-x-cm1x-daz-remix
820908154,THÍCH THÌ ĐẾN - LÊ BẢO BÌNH | HƯƠNG LY COVER,15 May 2020,571858,3998,195,8,cover,https://soundcloud.com/ph-m-huy-866125326/thich-thi-den-le-bao-binh-huong-ly-cover
849748879,- Anh thích em gọi anh là gì ? - Linh Nguyễn | RV Underground,1 July 2020,182345,1559,55,14,,https://soundcloud.com/inh-ng-c-mai-180656740/anh-thi-ch-em-go-i-anh-la-gi
738698026,Làm Gì Phải Hốt - JustaTee X Hoàng Thùy Linh X Đen,5 January 2020,1860009,14094,444,127,Ragga,https://soundcloud.com/user-889865350/lam-gi-phai-hot-justatee-x-hoang-thuy-linh-x-den
482787618,Cửu Vĩ Hồ (Hồ Ly) - Yun X Dr A [Official Lyrics Video],8 August 2018,366532,3217,159,68,,https://soundcloud.com/wrangz-music/cuu-vi-ho-ho-ly-yun-x-dr-a-official-lyrics-video
9092233,Something happened (Pitto instrumental remix),13 January 2011,6814,199,20,2,Music,https://soundcloud.com/tjkong/tj-kong-nuno-dos-santos-something-happened-pitto-instrumental-remix
123025629,Wolf Alice - Blush (Duncan Murray Remix),3 December 2013,254562,1688,326,18,"Remix, Remix, Wolf_Alice, Blush, Duncan_Murray, House, Chill",https://soundcloud.com/djduncanmurray/blush-duncan-murray-remix
251803650,Charlotte Holmes - Let's Get (Ben Macklin Night Remix),14 March 2016,128879,2394,255,45,"Soul, Neo Soul, House, Deep, Jam",https://soundcloud.com/benmacklin/charlotte-holmes-lets-get-ben-macklin-night-remix
81644927,[Official Audio] Một ngày em sẽ.. - Yanbi ft. Mr.T & Bảo Anh,4 March 2013,680454,3786,501,198,"yanbi, mr, anh, bao, t",https://soundcloud.com/mrt-rapper/motngayemse-official
