id,title,create_date,likes_count,reposts_count,tracks_count,total_playtime,tags,url
,pop,17 December 2017,2,0,442,32:41:50,,https://soundcloud.com/agung-setiawan-591667111/sets/pop
787457085,Essential New Music: New + Now,24 May 2019,14866,494,99,3:01:33,"Pop, Rap, Mixtape",https://soundcloud.com/soundcloud-shine/sets/new-now-essential-new-music
274964815,POP,12 November 2016,0,0,397,52:46:05,,https://soundcloud.com/user-318738541/sets/pop
,pop,12 April 2018,7,2,449,31:47:50,,https://soundcloud.com/alfan-alfandi/sets/pop
1020485044,pop,28 March 2020,12,1,57,4:30:29,,https://soundcloud.com/user-232466213/sets/pop
865317093,Pop,10 September 2019,0,0,479,36:32:42,,https://soundcloud.com/vahid-rajabian-186510397/sets/pop
331589777,pop,19 June 2017,1,0,375,29:25:53,,https://soundcloud.com/user-29502263/sets/pop
,pop,27 October 2017,10,0,329,31:00:05,,https://soundcloud.com/erick-pratamasf/sets/pop
325593343,pop,24 May 2017,3,2,60,4:46:37,,https://soundcloud.com/iim-aja/sets/pop
279872763,Pop,6 January 2017,73,7,419,21:33:13,,https://soundcloud.com/austin-guevara-266802222/sets/pop
1330705999,Pop,13 October 2021,0,0,211,11:46:32,,https://soundcloud.com/user-956634819/sets/pop
348250137,pop,27 August 2017,36,3,34,1:40:17,,https://soundcloud.com/thaua-santos-139649383/sets/pop
557347725,POP,9 July 2018,5,1,364,36:13:15,,https://soundcloud.com/egaa-saktii/sets/pop
36989525,Pop,28 May 2014,45,4,478,59:49:51,Electronic,https://soundcloud.com/hcova/sets/pop
,pop,30 June 2018,5,0,461,58:11:55,,https://soundcloud.com/reza-hosseini-734052601/sets/pop
,pop,4 December 2014,35,4,463,36:16:41,,https://soundcloud.com/afeada-afroze/sets/pakistani
852426830,pop,22 August 2019,14,1,495,24:41:18,,https://soundcloud.com/terri-ann-mckenzie/sets/pop
227105769,pop,22 May 2016,0,0,293,29:13:42,,https://soundcloud.com/micheal-pop-459393921/sets/pop
644148801,pop,15 November 2018,1,1,281,20:44:57,,https://soundcloud.com/user-174084343/sets/pop
330742947,pop,15 June 2017,1,0,432,27:59:02,,https://soundcloud.com/mon-nguy-n-957727571/sets/pop
297782133,pop,6 February 2017,2,0,25,2:05:27,,https://soundcloud.com/wisnu-segara-191142002/sets/pop
636198816,pop,3 November 2018,0,0,297,29:00:17,,https://soundcloud.com/hamada-magdy-804506356/sets/pop
549572160,pop,27 June 2018,0,0,283,42:00:15,,https://soundcloud.com/rendy-rey-431539192/sets/pop
,Pop,11 March 2017,18,3,483,26:35:17,,https://soundcloud.com/user-5171993/sets/pop
367591792,pop,5 November 2017,41,4,474,31:24:48,,https://soundcloud.com/user-338076535/sets/pop
,pop,21 July 2018,1,0,297,24:38:47,,https://soundcloud.com/agatha-ridho/sets/pop
292766359,pop,18 January 2017,0,0,3,17:17,,https://soundcloud.com/reza-fadhillah-121338140/sets/pop
1232474644,pop,26 March 2021,3,0,497,36:58:55,,https://soundcloud.com/21yiykll5d4y/sets/pop
464932218,pop,6 March 2018,2,0,458,29:15:36,,https://soundcloud.com/user-466649097/sets/pop
1326883453,Pop,6 October 2021,0,0,363,17:07:35,,https://soundcloud.com/user-995918924/sets/pop
272284477,Pop,2 November 2016,1,0,450,38:17:26,,https://soundcloud.com/mohamad-usman/sets/pop
,"K-Pop Top 100 (July 5, 2017)",4 October 2013,14955,2699,111,7:55:09,"K-Pop, kpop, Kpop, top, 100, melon",https://soundcloud.com/melonsound/sets/k-pop-top-100
958461835,pop,3 January 2020,1,0,477,29:54:26,,https://soundcloud.com/etienne-johan/sets/pop
845344433,Kpop,27 January 2020,1127,41,63,4:19:18,,https://soundcloud.com/bilqis-rizqiyatu-nahari/sets/kpop
210740089,kpop,30 March 2016,2467,232,34,2:52:03,"Pop, Dance Pop",https://soundcloud.com/user-376321823/sets/kpop
,❤️kpop❤️,11 October 2015,2853,247,279,16:29:50,,https://soundcloud.com/user808766977/sets/kpop
,Kpop,2 April 2015,1143,95,201,11:58:06,,https://soundcloud.com/berushka-r-britton/sets/kpop
658238871,K-POP,18 January 2019,228,10,17,1:21:19,,https://soundcloud.com/c2o2cycuxz0f/sets/k-pop
1123085554,Kpop,5 September 2020,302,9,484,20:50:05,"Kpop, ARS, BTS, V, Taehyung, Jimin, RM, Suga, JHope, GOT7, Ravn, Seventeen, SVT, StrayKids, Holland, SuperM, MonstaX, Wonho, TxT, Def., Antares, BECZ, Yugyeom, Astro, JacksonWang, The8, Jun, BAP, Day6, 131, B.I, KimHanbin, Hanbin, Jin, eaJ",https://soundcloud.com/gwen-79-298237196/sets/kpop
,kpop,10 July 2020,115,3,34,3:17:38,,https://soundcloud.com/lonely-tears-926376763/sets/kpop
1331355106,kpop,15 October 2021,14,0,500,26:10:04,,https://soundcloud.com/user-990308332/sets/kpop
,Kpop,17 March 2016,461,42,371,21:36:33,,https://soundcloud.com/user749345703/sets/kpop
428059382,Kpop,5 February 2018,1658,123,418,38:04:40,,https://soundcloud.com/novvacane/sets/kpop
1275325114,kpop,27 September 2021,17,0,483,28:09:40,,https://soundcloud.com/5grjiz4jso9i/sets/kpop
1259245783,KPOP,19 May 2021,41,1,241,16:28:44,,https://soundcloud.com/71fq1r00qt0h/sets/kpop
341965723,Kpop,2 October 2017,464,34,478,42:51:09,,https://soundcloud.com/user-221269113/sets/kpop
1306086322,Kpop,24 August 2021,13,0,482,31:35:24,,https://soundcloud.com/user-702568329/sets/kpop
107815822,KPOP,15 May 2015,294,18,185,11:19:41,,https://soundcloud.com/jasmine-white-65/sets/kpop
,kpop,7 June 2015,291,22,184,14:17:40,,https://soundcloud.com/jungkookoppa/sets/kpop
